Titre,Localisation,Prix,Nombre_chambre,Nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
TEM-TE-1005 - Appartement à vendre à Centre ville,Skhirat,1400000.0,3,1,121.0,Vendre,Autre secteur,0,3,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/TEM_TE_1005___Appartement_%C3%A0_vendre_%C3%A0_Centre_ville_55607541.htm
Appartement 175 m² à centre ville,Tanger,2275000.0,3,2,175.0,Vendre,Centre ville,2,6,-1 ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_175_m%C2%B2_%C3%A0_centre_ville__54961624.htm
Belle appartement vue mer 157m2,Tanger,830000.0,3,1,157.0,Vendre,Malabata,1,6,-1 ans,https://www.avito.ma/fr/malabata/appartements/Belle_appartement_vue_mer_157m2__55354608.htm
appartement sfliya babha bouhdou fih da3m 7mlyon,Had Soualem,540000.0,3,2,90.0,Vendre,Toute la ville,1,0,-1 ans,https://www.avito.ma/fr/had_soualem/appartements/appartement_sfliya_babha_bouhdou__fih_da3m_7mlyon__53413437.htm
Appartement à vendre 65 m² à gzenaya,Tanger,3800000.0,2,1,65.0,Vendre,Autre secteur,1,1,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_gzenaya__55073537.htm
Appartement à vendre 90m² à Casablanca,Casablanca,830000.0,2,2,90.0,Vendre,Aïn Borja,1,4,-1 ans,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_%C3%A0_vendre_90m%C2%B2_%C3%A0_Casablanca_55726518.htm
Appartement à vendre 100 m² à Dar Bouazza,Dar Bouazza,830000.0,3,2,100.0,Vendre,Toute la ville,1,1,-1 ans,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Dar_Bouazza_54833290.htm
Resdnce avec mer et picine,Asilah,830000.0,2,2,100.0,Vendre,Toute la ville,2,2,-1 ans,https://www.avito.ma/fr/asilah/appartements/Resdnce_avec_mer_et_picine__55234259.htm
super studio haut standing sup 49 m2 sur parc,Mohammedia,650000.0,1,1,49.0,Vendre,Quartier du Parc,1,4,1-5 ans,https://www.avito.ma/fr/quartier_du_parc/appartements/super_studio_haut_standing_sup_49_m2_sur_parc_55602843.htm
très grand appartement 140m chouka a had soualem,Had Soualem,680000.0,3,2,140.0,Vendre,Toute la ville,1,3,-1 ans,https://www.avito.ma/fr/had_soualem/appartements/tr%C3%A8s_grand_appartement_140m_chouka_a_had_soualem_47240963.htm
Appartement à vendre au Quartier Wilaya Tetouan,Tétouan,1650000.0,3,2,175.0,Vendre,Wilaya,2,3,1-5 ans,https://www.avito.ma/fr/wilaya/appartements/Appartement_%C3%A0_vendre_au_Quartier_Wilaya_Tetouan__54017003.htm
Appartement à vendre 50 m² à Casablanca,Casablanca,320000.0,2,1,50.0,Vendre,Errahma,1,3,6-10 ans,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55737419.htm
Appart 78m2 dont 18m2 terrasse PERLA,Bouskoura,688000.0,2,2,62.0,Vendre,Bouskoura centre,2,1,-1 ans,https://www.avito.ma/fr/bouskoura_centre/appartements/Appart_78m2_dont_18m2_terrasse_PERLA_39596386.htm
Superbe appartement à martil,Martil,620000.0,2,1,53.0,Vendre,Toute la ville,1,1,-1 ans,https://www.avito.ma/fr/martil/appartements/Superbe_appartement_%C3%A0_martil__55553955.htm
CMN-AS-1063 - Appartement à vendre à Aïn Sebaâ,Casablanca,1300000.0,3,2,141.0,Vendre,Ain Sebaa,0,4,-1 ans,https://www.avito.ma/fr/ain_sebaa/appartements/CMN_AS_1063___Appartement_%C3%A0_vendre_%C3%A0_A%C3%AFn_Seba%C3%A2_55011389.htm
Appartement 110 m² à Casablanca,Casablanca,690000.0,3,2,110.0,Vendre,Sidi Bernoussi,2,2,11-20 ans,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_110_m%C2%B2_%C3%A0_Casablanca_54645618.htm
Appartement à vendre 87 m² à Rabat,Rabat,1750000.0,2,2,87.0,Vendre,Quartier de l'Océan,1,2,1-5 ans,https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/Appartement_%C3%A0_vendre_87_m%C2%B2_%C3%A0_Rabat_55714720.htm
Appartement avec terrasse 3 chambres,El Jadida,830000.0,3,1,90.0,Vendre,Saada,1,1,-1 ans,https://www.avito.ma/fr/saada/appartements/Appartement_avec_terrasse_3_chambres__55662871.htm
Appartement à vendre 63 m² à Temara,Temara,900000.0,1,1,63.0,Vendre,Centre Ville,1,0,-1 ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_63_m%C2%B2_%C3%A0_Temara_55737406.htm
Joli appartement basatin el Menzeh,Rabat,1400000.0,2,2,70.0,Vendre,Souissi,1,2,-1 ans,https://www.avito.ma/fr/souissi/appartements/Joli_appartement_basatin_el_Menzeh__55623172.htm
Appartement à vendre 93 m² à Bouskoura,Bouskoura,967200.0,3,2,93.0,Vendre,Ville verte,1,3,-1 ans,https://www.avito.ma/fr/ville_verte/appartements/Appartement_%C3%A0_vendre_93_m%C2%B2_%C3%A0_Bouskoura_52008386.htm
Appartement de 77m très bien placé à l'oasis,Casablanca,17500.0,2,2,75.0,Vendre,Oasis,1,2,6-10 ans,https://www.avito.ma/fr/oasis/appartements/Appartement_de_77m_tr%C3%A8s_bien_plac%C3%A9_%C3%A0_l_oasis_54094399.htm
Appartement 2 à 3 chambres Sala Al Jadida,Salé,820000.0,2,2,87.0,Vendre,Sala El Jadida,1,2,-1 ans,https://www.avito.ma/fr/sala_el_jadida/appartements/Appartement_2_%C3%A0_3_chambres_Sala_Al_Jadida_52485416.htm
Appartement à vendre 50 m² à Casablanca,Casablanca,320000.0,2,1,50.0,Vendre,Errahma,1,3,6-10 ans,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55737419.htm
Appart 78m2 dont 18m2 terrasse PERLA,Bouskoura,688000.0,2,2,62.0,Vendre,Bouskoura centre,2,1,-1 ans,https://www.avito.ma/fr/bouskoura_centre/appartements/Appart_78m2_dont_18m2_terrasse_PERLA_39596386.htm
Superbe appartement à martil,Martil,620000.0,2,1,53.0,Vendre,Toute la ville,1,1,-1 ans,https://www.avito.ma/fr/martil/appartements/Superbe_appartement_%C3%A0_martil__55553955.htm
CMN-AS-1063 - Appartement à vendre à Aïn Sebaâ,Casablanca,1300000.0,3,2,141.0,Vendre,Ain Sebaa,0,4,-1 ans,https://www.avito.ma/fr/ain_sebaa/appartements/CMN_AS_1063___Appartement_%C3%A0_vendre_%C3%A0_A%C3%AFn_Seba%C3%A2_55011389.htm
Appartement 110 m² à Casablanca,Casablanca,690000.0,3,2,110.0,Vendre,Sidi Bernoussi,2,2,11-20 ans,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_110_m%C2%B2_%C3%A0_Casablanca_54645618.htm
Appartement à vendre 87 m² à Rabat,Rabat,1750000.0,2,2,87.0,Vendre,Quartier de l'Océan,1,2,1-5 ans,https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/Appartement_%C3%A0_vendre_87_m%C2%B2_%C3%A0_Rabat_55714720.htm
Appartement avec terrasse 3 chambres,El Jadida,830000.0,3,1,90.0,Vendre,Saada,1,1,-1 ans,https://www.avito.ma/fr/saada/appartements/Appartement_avec_terrasse_3_chambres__55662871.htm
Appartement à vendre 63 m² à Temara,Temara,900000.0,1,1,63.0,Vendre,Centre Ville,1,0,-1 ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_63_m%C2%B2_%C3%A0_Temara_55737406.htm
Joli appartement basatin el Menzeh,Rabat,1400000.0,2,2,70.0,Vendre,Souissi,1,2,-1 ans,https://www.avito.ma/fr/souissi/appartements/Joli_appartement_basatin_el_Menzeh__55623172.htm
Appartement à vendre 93 m² à Bouskoura,Bouskoura,967200.0,3,2,93.0,Vendre,Ville verte,1,3,-1 ans,https://www.avito.ma/fr/ville_verte/appartements/Appartement_%C3%A0_vendre_93_m%C2%B2_%C3%A0_Bouskoura_52008386.htm
Appartement de 77m très bien placé à l'oasis,Casablanca,17500.0,2,2,75.0,Vendre,Oasis,1,2,6-10 ans,https://www.avito.ma/fr/oasis/appartements/Appartement_de_77m_tr%C3%A8s_bien_plac%C3%A9_%C3%A0_l_oasis_54094399.htm
Appartement 2 à 3 chambres Sala Al Jadida,Salé,820000.0,2,2,87.0,Vendre,Sala El Jadida,1,2,-1 ans,https://www.avito.ma/fr/sala_el_jadida/appartements/Appartement_2_%C3%A0_3_chambres_Sala_Al_Jadida_52485416.htm
super appt 89m2 ensoleille sur mohammedia,Mohammedia,800000.0,2,2,87.0,Vendre,Autre secteur,2,1,6-10 ans,https://www.avito.ma/fr/autre_secteur/appartements/super_appt_89m2_ensoleille_sur_mohammedia_55612242.htm
Appartement à vendre 84 m² à Temara,Temara,1750000.0,2,2,84.0,Vendre,Riad Oulad Mtaa,1,2,-1 ans,https://www.avito.ma/fr/riad_oulad_mtaa/appartements/Appartement_%C3%A0_vendre_84_m%C2%B2_%C3%A0_Temara_54936108.htm
RBA-YO-1038 - Appartement à vendre à Aviation - ...,Rabat,1500000.0,2,2,78.0,Vendre,Aviation - Mabella,0,3,-1 ans,https://www.avito.ma/fr/aviation___mabella/appartements/RBA_YO_1038___Appartement_%C3%A0_vendre_%C3%A0_Aviation_______54780093.htm
Appartement à vendre 86 m² à Temara,Temara,1100000.0,2,2,86.0,Vendre,Riad Oulad Mtaa,2,2,6-10 ans,https://www.avito.ma/fr/riad_oulad_mtaa/appartements/Appartement_%C3%A0_vendre_86_m%C2%B2_%C3%A0_Temara_55466815.htm
RBA-HA-1041 - Appartement à vendre à L'Ocean,Rabat,1800000.0,3,2,158.0,Vendre,Quartier de l'Océan,0,1,-1 ans,https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/RBA_HA_1041___Appartement_%C3%A0_vendre_%C3%A0_L_Ocean_54878337.htm
Appartement neuf à vendre à Oasis,Casablanca,1240000.0,2,2,68.0,Vendre,Oasis,1,2,-1 ans,https://www.avito.ma/fr/oasis/appartements/Appartement_neuf__%C3%A0_vendre_%C3%A0_Oasis_55483660.htm
appartement de luxe,Bouskoura,1250000.0,4,2,108.0,Vendre,Bouskoura centre,1,1,-1 ans,https://www.avito.ma/fr/bouskoura_centre/appartements/appartement_de_luxe_55658497.htm
شقق تتوفر على الدعم ببوزنيقة,Bouznika,420000.0,2,2,58.0,Vendre,Autre secteur,2,1,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/%D8%B4%D9%82%D9%82_%D8%AA%D8%AA%D9%88%D9%81%D8%B1_%D8%B9%D9%84%D9%89_%D8%A7%D9%84%D8%AF%D8%B9%D9%85_%D8%A8%D8%A8%D9%88%D8%B2%D9%86%D9%8A%D9%82%D8%A9__54079338.htm
RBA-HA-1080 - Appartement à vendre à Diour Jamaa,Rabat,1700000.0,3,2,150.0,Vendre,Diour Jamaa,0,5,-1 ans,https://www.avito.ma/fr/diour_jamaa/appartements/RBA_HA_1080___Appartement_%C3%A0_vendre_%C3%A0_Diour_Jamaa_55180271.htm
Appartement à vendre 105 m² à Kénitra,Kénitra,820000.0,3,2,105.0,Vendre,Al Maghrib Al Arabi,1,1,1-5 ans,https://www.avito.ma/fr/al_maghrib_al_arabi/appartements/Appartement_%C3%A0_vendre_105_m%C2%B2_%C3%A0_K%C3%A9nitra_55090849.htm
Appartement à vendre 87 m² à Casablanca,Casablanca,592000.0,3,2,81.0,Vendre,Autre secteur,1,4,6-10 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_87_m%C2%B2_%C3%A0_Casablanca_55328894.htm
Appartement à vendre 134 m² à Temara,Temara,1200000.0,3,2,134.0,Vendre,Abbadi Braika,1,0,11-20 ans,https://www.avito.ma/fr/abbadi_braika/appartements/Appartement_%C3%A0_vendre_134_m%C2%B2_%C3%A0_Temara_54327307.htm
Appartement haut standing à victoria bouskoura,Casablanca,830000.0,2,2,119.0,Vendre,Autre secteur,1,2,6-10 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_haut_standing_%C3%A0_victoria_bouskoura_55579379.htm
Appartement à vendre 51 m² à Temara,Temara,400000.0,2,1,51.0,Vendre,Ain Atig,1,3,6-10 ans,https://www.avito.ma/fr/ain_atig/appartements/Appartement_%C3%A0_vendre_51_m%C2%B2_%C3%A0_Temara_52461618.htm
Appartement à vendre 109 m² à Temara,Temara,1800000.0,3,2,109.0,Vendre,Harhoura,1,2,-1 ans,https://www.avito.ma/fr/harhoura/appartements/Appartement_%C3%A0_vendre_109_m%C2%B2_%C3%A0_Temara_54290046.htm
Appartement à vendre 100 m² à Kénitra,Kénitra,750000.0,3,1,100.0,Vendre,Al Maghrib Al Arabi,1,0,-1 ans,https://www.avito.ma/fr/al_maghrib_al_arabi/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_K%C3%A9nitra_55263409.htm
Appartement à vendre 127 m² à Marrakech,Marrakech,2600000.0,2,2,127.0,Vendre,Av Mohammed VI,1,1,1-5 ans,https://www.avito.ma/fr/av_mohammed_vi/appartements/Appartement_%C3%A0_vendre_127_m%C2%B2_%C3%A0_Marrakech_55718853.htm
Appartement 104 m² à Rabat,Rabat,3500000.0,2,2,104.0,Vendre,Yacoub El Mansour,1,2,1-5 ans,https://www.avito.ma/fr/yacoub_el_mansour/appartements/Appartement_104_m%C2%B2_%C3%A0_Rabat_55006862.htm
Appartements à Temara,Temara,630000.0,2,2,64.0,Vendre,Skikina,1,1,-1 ans,https://www.avito.ma/fr/skikina/appartements/Appartements_%C3%A0_Temara_48494248.htm
Appartement à vendre 101m à bourgogne,Casablanca,1100000.0,2,2,96.0,Vendre,Bourgogne,2,4,11-20 ans,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_101m_%C3%A0_bourgogne__55447038.htm
Appartement à vendre 85 m² à Casablanca,Casablanca,977000.0,3,2,85.0,Vendre,Ain Sebaa,1,3,6-10 ans,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_85_m%C2%B2_%C3%A0_Casablanca_54319480.htm
Appartement à vendre 94 m² à Temara,Temara,740000.0,3,2,94.0,Vendre,Autre secteur,1,0,6-10 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_94_m%C2%B2_%C3%A0_Temara_55588571.htm
Appartement à vendre 51 m² à Errahma,Errahma,285000.0,2,1,51.0,Vendre,Toute la ville,1,4,6-10 ans,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_51_m%C2%B2_%C3%A0_Errahma_55483994.htm
Appartements à Temara,Temara,630000.0,2,2,64.0,Vendre,Skikina,1,1,-1 ans,https://www.avito.ma/fr/skikina/appartements/Appartements_%C3%A0_Temara_48494248.htm
Appartement à vendre 101m à bourgogne,Casablanca,1100000.0,2,2,96.0,Vendre,Bourgogne,2,4,11-20 ans,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_101m_%C3%A0_bourgogne__55447038.htm
Appartement à vendre 85 m² à Casablanca,Casablanca,977000.0,3,2,85.0,Vendre,Ain Sebaa,1,3,6-10 ans,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_85_m%C2%B2_%C3%A0_Casablanca_54319480.htm
Appartement à vendre 94 m² à Temara,Temara,740000.0,3,2,94.0,Vendre,Autre secteur,1,0,6-10 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_94_m%C2%B2_%C3%A0_Temara_55588571.htm
Appartement à vendre 51 m² à Errahma,Errahma,285000.0,2,1,51.0,Vendre,Toute la ville,1,4,6-10 ans,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_51_m%C2%B2_%C3%A0_Errahma_55483994.htm
CMN-AC-1554 - Appartement à vendre à Mandarona,Casablanca,1700000.0,3,2,108.0,Vendre,Mandarona,0,0,-1 ans,https://www.avito.ma/fr/mandarona/appartements/CMN_AC_1554___Appartement_%C3%A0_vendre_%C3%A0_Mandarona_55109116.htm
CMN-MA-1757 - Appartement à vendre à Palmier,Casablanca,1500000.0,2,1,98.0,Vendre,Palmier,0,4,-1 ans,https://www.avito.ma/fr/palmier/appartements/CMN_MA_1757___Appartement_%C3%A0_vendre_%C3%A0_Palmier_55655491.htm
Appartement à vendre 130 m² à Temara,Temara,2650000.0,2,3,130.0,Vendre,Riad Oulad Mtaa,2,1,11-20 ans,https://www.avito.ma/fr/riad_oulad_mtaa/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_Temara_55690965.htm
Appartement 135m² 2Mars,الدار البيضاء,1700000.0,3,2,135.0,Vendre,2 Mars,1,3,11-20 ans,https://www.avito.ma/fr/2_mars/appartements/Appartement_135m%C2%B2_2Mars__48799917.htm
Appartement à vendre 50 m² à Casablanca,Casablanca,380000.0,2,1,50.0,Vendre,Route d'Azemmour,1,4,1-5 ans,https://www.avito.ma/fr/route_d'azemmour/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55737278.htm
CMN-MA-1717 - Appartement à vendre à Maârif,Casablanca,950000.0,1,1,46.0,Vendre,Maarif,0,4,-1 ans,https://www.avito.ma/fr/maarif/appartements/CMN_MA_1717___Appartement_%C3%A0_vendre_%C3%A0_Ma%C3%A2rif_55581334.htm
Appartement à vendre 87 m² à Casablanca,Casablanca,825000.0,3,2,87.0,Vendre,Sbata,1,2,6-10 ans,https://www.avito.ma/fr/sbata/appartements/Appartement_%C3%A0_vendre_87_m%C2%B2_%C3%A0_Casablanca_51529993.htm
Appartement à vendre 80 Sala Al Jadida,Salé,820000.0,2,2,80.0,Vendre,Sala El Jadida,1,1,-1 ans,https://www.avito.ma/fr/sala_el_jadida/appartements/Appartement_%C3%A0_vendre_80_Sala_Al_Jadida_55218374.htm
Appartement à vendre 109 m² à Casablanca,Casablanca,1500000.0,3,2,109.0,Vendre,Val Fleuri,2,5,11-20 ans,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_%C3%A0_vendre_109_m%C2%B2_%C3%A0_Casablanca_55620057.htm
Appartement à vendre 200 m² à Fquih Ben Saleh,Fquih Ben Saleh,830000.0,4,1,200.0,Vendre,Toute la ville,2,1,-1 ans,https://www.avito.ma/fr/fquih_ben_saleh/appartements/Appartement_%C3%A0_vendre_200_m%C2%B2_%C3%A0_Fquih_Ben_Saleh_55737238.htm
Appartement 84 m² Belvédère Casa Voyageurs,Casablanca,660000.0,2,2,84.0,Vendre,Belvédère,1,4,21+ ans,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_84_m%C2%B2_Belv%C3%A9d%C3%A8re_Casa_Voyageurs_54160647.htm
Appartement en vente à martil,Martil,330000.0,2,2,65.0,Vendre,Toute la ville,1,3,1-5 ans,https://www.avito.ma/fr/martil/appartements/Appartement_en_vente_%C3%A0_martil_54721984.htm
Appartement à vendre 85m² et 120m² à Temara,Temara,900000.0,3,2,85.0,Vendre,Autre secteur,1,1,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_85m%C2%B2_et_120m%C2%B2_%C3%A0_Temara_55682250.htm
Appartement à vendre 80 m² à Salé,Salé,820000.0,2,2,80.0,Vendre,Sala El Jadida,1,2,-1 ans,https://www.avito.ma/fr/sala_el_jadida/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Sal%C3%A9_53974193.htm
Appartement en Vente à Bouznika,Bouznika,490000.0,2,1,63.0,Vendre,Autre secteur,1,2,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_en_Vente_%C3%A0_Bouznika_44799287.htm
Appartement à vendre 101 m² à Oujda,Oujda,520000.0,3,1,101.0,Vendre,Hay fath,1,2,-1 ans,https://www.avito.ma/fr/hay_fath/appartements/Appartement_%C3%A0_vendre_101_m%C2%B2_%C3%A0_Oujda_55701564.htm
appartement 130m² à Hayriad envente,Rabat,2240000.0,3,2,116.0,Vendre,Hay Riad,1,3,-1 ans,https://www.avito.ma/fr/hay_riad/appartements/appartement_130m%C2%B2_%C3%A0_Hayriad_envente__55453631.htm
Appartement à vendre 75 m² à Agadir,Agadir,830000.0,2,2,75.0,Vendre,Hay Mohammadi,1,2,-1 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_75_m%C2%B2_%C3%A0_Agadir_55674323.htm
Appartement à vendre 50 m² à Casablanca,Casablanca,270000.0,2,1,50.0,Vendre,Sidi Bernoussi,1,1,6-10 ans,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55733171.htm
Appartement à vendre 58 m² à El Jadida,El Jadida,390000.0,2,1,58.0,Vendre,Autre secteur,1,2,6-10 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_58_m%C2%B2_%C3%A0_El_Jadida_55654332.htm
Appartement AV Alhamra,Agadir,1060000.0,2,2,82.0,Vendre,Autre secteur,1,2,1-5 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_AV_Alhamra__55383672.htm
Appartement à vendre 70 m² à Agadir,Agadir,750000.0,2,1,70.0,Vendre,Hay Salam,1,3,6-10 ans,https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Agadir_55422967.htm
Appartement 133m² ensoleillé au RDC à Val fleuri,Casablanca,1550000.0,3,2,102.0,Vendre,Val Fleuri,2,1,6-10 ans,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_133m%C2%B2_ensoleill%C3%A9_au_RDC_%C3%A0_Val_fleuri_53623611.htm
CMN-AS-1422 - Appartement à vendre à Hay Palestine,Casablanca,820000.0,2,1,75.0,Vendre,Belvédère,0,1,-1 ans,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/CMN_AS_1422___Appartement_%C3%A0_vendre_%C3%A0_Hay_Palestine_54790897.htm
RAK-GU-1123 - Appartement à vendre à Hay Al Bahja,Marrakech,1050000.0,3,1,124.0,Vendre,Hay Al Bahja,0,1,-1 ans,https://www.avito.ma/fr/hay_al_bahja/appartements/RAK_GU_1123___Appartement_%C3%A0_vendre_%C3%A0_Hay_Al_Bahja_55623763.htm
Bel Appartement de 83 m² près de Tachfine Centre,Casablanca,860000.0,2,1,83.0,Vendre,Belvédère,1,4,6-10 ans,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Bel_Appartement_de_83_m%C2%B2_pr%C3%A8s_de_Tachfine_Centre__55671116.htm
Appartement 3 chambres à vendre,Temara,830000.0,3,2,99.0,Vendre,Wifak,1,2,-1 ans,https://www.avito.ma/fr/wifak/appartements/Appartement_3_chambres_%C3%A0_vendre__55737147.htm
Appartement à vendre 117 m² à Had Soualem,Had Soualem,490000.0,3,1,117.0,Vendre,Toute la ville,1,1,6-10 ans,https://www.avito.ma/fr/had_soualem/appartements/Appartement_%C3%A0_vendre_117_m%C2%B2_%C3%A0_Had_Soualem_55674365.htm
Appartement à Mohammedia,Mohammedia,830000.0,2,1,50.0,Vendre,Nassim,1,4,1-5 ans,https://www.avito.ma/fr/nassim/appartements/Appartement_%C3%A0_Mohammedia_55572066.htm
Appartement à vendre 130 m² à Rabat,Rabat,2050000.0,2,2,130.0,Vendre,Agdal,2,0,-1 ans,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_Rabat_55446512.htm
RAK-GU-1123 - Appartement à vendre à Hay Al Bahja,Marrakech,1050000.0,3,1,124.0,Vendre,Hay Al Bahja,0,1,-1 ans,https://www.avito.ma/fr/hay_al_bahja/appartements/RAK_GU_1123___Appartement_%C3%A0_vendre_%C3%A0_Hay_Al_Bahja_55623763.htm
Bel Appartement de 83 m² près de Tachfine Centre,Casablanca,860000.0,2,1,83.0,Vendre,Belvédère,1,4,6-10 ans,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Bel_Appartement_de_83_m%C2%B2_pr%C3%A8s_de_Tachfine_Centre__55671116.htm
Appartement 3 chambres à vendre,Temara,830000.0,3,2,99.0,Vendre,Wifak,1,2,-1 ans,https://www.avito.ma/fr/wifak/appartements/Appartement_3_chambres_%C3%A0_vendre__55737147.htm
Appartement à vendre 117 m² à Had Soualem,Had Soualem,490000.0,3,1,117.0,Vendre,Toute la ville,1,1,6-10 ans,https://www.avito.ma/fr/had_soualem/appartements/Appartement_%C3%A0_vendre_117_m%C2%B2_%C3%A0_Had_Soualem_55674365.htm
Appartement à Mohammedia,Mohammedia,830000.0,2,1,50.0,Vendre,Nassim,1,4,1-5 ans,https://www.avito.ma/fr/nassim/appartements/Appartement_%C3%A0_Mohammedia_55572066.htm
Appartement à vendre 130 m² à Rabat,Rabat,2050000.0,2,2,130.0,Vendre,Agdal,2,0,-1 ans,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_Rabat_55446512.htm
Appartement 2 à 3 chambres à Temara,Temara,866000.0,2,2,80.0,Vendre,Centre Ville,1,2,-1 ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_2_%C3%A0_3_chambres_%C3%A0_Temara_53886238.htm
Appartement a vendre près de Carrefour,El Jadida,530000.0,2,1,76.0,Vendre,Centre,1,2,-1 ans,https://www.avito.ma/fr/centre/appartements/Appartement_a_vendre_pr%C3%A8s_de_Carrefour__55676862.htm
Appartement à vendre 121 m² à Casablanca,Casablanca,2250000.0,3,2,121.0,Vendre,Val Fleuri,1,3,6-10 ans,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_%C3%A0_vendre_121_m%C2%B2_%C3%A0_Casablanca_55686610.htm
CMN-MA-1678 - Appartement à vendre à Les princesses,Casablanca,1550000.0,2,2,113.0,Vendre,Les Princesses,0,0,-1 ans,https://www.avito.ma/fr/les_princesses/appartements/CMN_MA_1678___Appartement_%C3%A0_vendre_%C3%A0_Les_princesses_55498854.htm
8089-Vente Appt à Bouznika Plage Oued Cherrat de 2,Casablanca,3000000.0,3,2,155.0,Vendre,Autre secteur,0,2,6-10 ans,https://www.avito.ma/fr/autre_secteur/appartements/8089_Vente_Appt_%C3%A0_Bouznika_Plage_Oued_Cherrat_de_2_54687692.htm
58956-Vente Appt à Casablanca La Gironde de 119 m²,Casablanca,1328000.0,3,2,110.0,Vendre,La Gironde,0,5,11-20 ans,https://www.avito.ma/fr/la_gironde/appartements/58956_Vente_Appt_%C3%A0_Casablanca_La_Gironde_de_119_m%C2%B2_55467387.htm
Appartement à vendre 98 m² à Marrakech,Marrakech,760000.0,3,3,98.0,Vendre,Akioud,1,3,-1 ans,https://www.avito.ma/fr/akioud/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Marrakech_55686721.htm
Appartement à vendre 68m² à Bouznika,Bouznika,480000.0,2,2,68.0,Vendre,Autre secteur,1,2,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_68m%C2%B2_%C3%A0_Bouznika_53253973.htm
64537-Vente Appt à Casablanca Belvedere (Roches No,Casablanca,1120000.0,2,1,85.0,Vendre,Belvédère,0,5,11-20 ans,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/64537_Vente_Appt_%C3%A0_Casablanca_Belvedere__Roches_No_55673344.htm
